ID	Pc1.A	Pc1.R	Pc1.N	Pc1.D	Pc1.C	Pc1.Q	Pc1.E	Pc1.G	Pc1.H	Pc1.I	Pc1.L	Pc1.K	Pc1.M	Pc1.F	Pc1.P	Pc1.S	Pc1.T	Pc1.W	Pc1.Y	Pc1.V	Pc2.Hydrophobicity.1	Pc2.Hydrophilicity.1	Pc2.Hydrophobicity.2	Pc2.Hydrophilicity.2	Pc2.Hydrophobicity.3	Pc2.Hydrophilicity.3	Pc2.Hydrophobicity.4	Pc2.Hydrophilicity.4	Pc2.Hydrophobicity.5	Pc2.Hydrophilicity.5	Pc2.Hydrophobicity.6	Pc2.Hydrophilicity.6	Pc2.Hydrophobicity.7	Pc2.Hydrophilicity.7	Pc2.Hydrophobicity.8	Pc2.Hydrophilicity.8	Pc2.Hydrophobicity.9	Pc2.Hydrophilicity.9	Pc2.Hydrophobicity.10	Pc2.Hydrophilicity.10
3053|0	0.08117744584017592	0.07872537086663171	0.0	0.11837693157554662	0.0	0.0	0.21705477330189699	0.10940794834468169	0.0	0.16998495373460487	0.08433376336348242	0.06396818173125143	0.0	0.0	0.05558043854231941	0.10541242359315832	0.2104478783565273	0.25587272692500573	0.3166050317931898	0.5765405518872666	0.5793618179118708	0.5281098145135075	0.5605372597496698	0.4501817810869458	0.44095662528123364	0.5231681220312552	0.3712856821167366	0.28478694329241305	0.4359153777115682	0.6603374252740877	0.643680033178018	0.6000934973533673	0.5605186373415024	0.3198051107163379	0.27284790087795574	0.459547127845623	0.5759774251488816	0.4726734519468285	0.3773410754785926	0.5882091402139351
1822|0	0.0	0.08754224768438741	0.08100590738138115	0.13163459949474438	0.0	0.0	0.0	0.12166113169357469	0.0	0.09451124052285201	0.18755750831659102	0.0	0.2694453218975372	0.0	0.0	0.1172181266803685	0.0	0.0	0.0	0.12822208453971543	0.5604597935152492	0.4064905571471865	0.5005125281459392	0.3556937963872744	0.4491546251834936	0.5837155809804471	0.28025530449485275	0.18526680351955177	0.33830863087794105	0.503585141406205	0.8311621417742485	0.8549965950851132	0.4661853791389	0.3847315628293415	0.14651299419652053	0.38509458171888555	0.5301285969019274	0.5063132801208298	0.4043279080233396	0.5867070185183909
1027|0	0.0	0.0	0.0	0.12188495702294856	0.0	0.11559089597465352	0.2234870541364207	0.0	0.0	0.08751117512818732	0.1736658821331525	0.19759151493567698	0.0	0.0	0.05722752966209374	0.0	0.0	0.13172767662378468	0.16299371076675928	0.0	0.4007624966571922	0.35394807646258214	0.5556237453675479	0.48275436264365557	0.3811127047340212	0.247484729773498	0.44091460889030687	0.6793221794565494	0.47057861693106195	0.35368207960276477	0.4014271414418846	0.41058368631008935	0.5734340870686334	0.39717711708485	0.2989988469463673	0.6142230980135817	0.5063945988289801	0.454992409950299	0.4363664832182291	0.6700189807361793
1311|0	0.16134120492710616	0.07823383738238675	0.07239250936228692	0.23527565542743245	0.0	0.0	0.0	0.054362421827385494	0.0	0.16892362756162388	0.41903606526037157	0.0	0.48159013629110214	0.1171538784436699	0.11046682772515465	0.419017062209402	0.10456695796774776	0.0	0.0	0.11458816715417464	0.6357935322054599	0.49261457828947686	0.5945992266216082	0.4600468336617672	0.40210006697795175	0.44491712226549635	0.3867924267971501	0.30557906373751365	0.4719432196823577	0.5625486760568152	0.5798013256903586	0.5676390904654537	0.5223777265401021	0.39919667305253836	0.2888099252480097	0.49544259747719793	0.5625114841861473	0.4947503750587272	0.41434739411732247	0.5640511869359925
2612|0	0.3286609085415303	0.39841657443308437	0.14746752331098512	0.1198173626901754	0.0	0.0	0.10984796678797974	0.33221772992916426	0.0	0.17205336024860374	0.08535995127987536	0.1294931154087741	0.0	0.11932444704952025	0.0	0.21339020063468023	0.0	0.0	0.4806863054186742	0.23342239908283088	0.8397806319404901	0.621297633634298	0.6667511083122779	0.5541378099120781	0.5032441224122614	0.5609492276681611	0.40659336179808747	0.35907676737112076	0.39568509236037874	0.5193107839634723	0.4986888713644326	0.5320005875617713	0.5438969615956433	0.42266320455294953	0.2753615842350758	0.5122860953678019	0.4555219643112194	0.4340642415970307	0.34455642172404444	0.5114027991687523
1532|0	0.08578861563117424	0.16639450802618344	0.0769853325821298	0.0	0.0	0.0	0.1146921310776963	0.11562271183077819	0.0	0.0898203540902966	0.0	0.06760180365827015	0.0	0.0	0.0	0.11140022695698532	0.0	0.0	0.0	0.36557407262372626	0.22644121906583492	0.4520164691111757	0.6067793424296851	0.39752880162372656	0.16181834542435156	0.3054757021577512	0.5471589660193906	0.5657438281988529	0.5758053064399968	0.7348636898100983	0.281208539128227	0.4117813349537111	0.5864109690361796	0.43010565937043954	0.2295276289333986	0.5071109369299299	0.8956209121243	0.5975711683273404	0.17438298668493676	0.5014125568536496
2729|0	0.40830009106607756	0.0791933664859116	0.0	0.0	0.0	0.3387941827135699	0.43669018057047704	0.0	0.0	0.0	0.33934039589319787	0.1286969017360981	0.48749678445260286	0.0	0.0	0.0	0.2116989195910545	0.0	0.0	0.0	0.5339428514671902	0.41436908346670653	0.5470171464742543	0.5932834670573457	0.4372508391533582	0.5351271702280223	0.40951671676409485	0.32879367813781946	0.44813365925612153	0.6458928702262197	0.5065097193274569	0.4884778455012419	0.4961583362764997	0.4849811487498786	0.324305393750185	0.5143179712033673	0.5700161713094029	0.53271780085332	0.32739630843903345	0.5236351421384753
3902|0	0.0	0.09000659933270873	0.08328625825949407	0.27068033934335567	0.0	0.0	0.12407919961998161	0.0625429722468755	0.0	0.2915153168849253	0.0	0.07313472695962905	0.2770303227481503	0.0	0.0	0.12051786699249005	0.0	0.0	0.18098703079852743	0.26366318192739535	0.39324433339966247	0.44537146119323073	0.5258840112766174	0.44340358774459115	0.3961743972198805	0.4929776075041263	0.2460985026684106	0.14546553692122852	0.4911310001147102	0.5736401497039874	0.6180401450499013	0.7316135939021482	0.5102251258506787	0.4313489608315499	0.36339787444534266	0.5635244312631104	0.37639264515295046	0.4450087222851576	0.3402792625461814	0.45901754917866844
1971|0	0.0	0.0	0.07924359581522329	0.12877084319973783	0.0	0.0	0.11805647353165123	0.11901435164423814	0.1826088167507611	0.18491023151503255	0.09173856488746923	0.06958481344171703	0.0	0.12824109391091704	0.060460596851491154	0.11466800574363727	0.1144629717331003	0.0	0.0	0.12543256868925598	0.46899094110880307	0.35498792688172565	0.5459469509969522	0.4864345565397714	0.4808734124259391	0.497502296930408	0.2470935237010777	0.14220868705357664	0.4219534293404571	0.5855040093519261	0.7457861467724756	0.7191666451331526	0.5075583451119368	0.4003588074472176	0.30444260950776597	0.5458918618228478	0.5799095796497118	0.4865442083725625	0.3074828539464673	0.4570656029249911
2623|0	0.0	0.08751817991207789	0.08098363662884564	0.0	0.0	0.12480275201318539	0.1206487723810926	0.060813841850694175	0.0	0.1889705135653671	0.37501188719512185	0.2844510620032947	0.5387424879313896	0.1310570279317418	0.0	0.23437180038498837	0.0	0.42667659300494204	0.0	0.12818683276108986	0.615307983795375	0.5879017761115773	0.7165629711855311	0.6199769627165324	0.4690465668883626	0.6462859661275754	0.39074025172746185	0.2594816174528808	0.41003279562119366	0.5946061767041639	0.5880699622798328	0.6281355926036254	0.5034390224991635	0.3626103012703377	0.21768079670456647	0.38425893457653076	0.43183333122741074	0.4134353766323933	0.325141394893878	0.45508798481703755
