ID	CIDH920105.lag1	CIDH920105.lag2	CIDH920105.lag3	CIDH920105.lag4	BHAR880101.lag1	BHAR880101.lag2	BHAR880101.lag3	BHAR880101.lag4	CHAM820101.lag1	CHAM820101.lag2	CHAM820101.lag3	CHAM820101.lag4	CHAM820102.lag1	CHAM820102.lag2	CHAM820102.lag3	CHAM820102.lag4	CHOC760101.lag1	CHOC760101.lag2	CHOC760101.lag3	CHOC760101.lag4	BIGC670101.lag1	BIGC670101.lag2	BIGC670101.lag3	BIGC670101.lag4	CHAM810101.lag1	CHAM810101.lag2	CHAM810101.lag3	CHAM810101.lag4	DAYM780201.lag1	DAYM780201.lag2	DAYM780201.lag3	DAYM780201.lag4
2|1	0.36287688862198614	0.32705641800680885	0.4109010403789267	0.5163132191607414	0.6289037546385683	0.268586002052728	0.669891476226286	0.5958256194882099	0.25222531541905197	0.15791758824508043	0.3949935516875445	0.3749970559437971	0.4606817581716104	0.584572534067238	0.4179870792949977	0.46170505407644635	0.28889727528206016	0.17793226685993424	0.35770275195449847	0.5206386506192304	0.2518167758080656	0.23693232450530563	0.4590863405995024	0.4854288635549515	0.3846571495910206	0.45736799935003886	0.36791629521086766	0.4201192079727361	0.20548719215322736	0.1974449684470922	0.3253455540525833	0.2657476386084616
3|1	0.4121642356086663	0.3440434152479956	0.33585604669752167	0.43408974772036013	0.5353609906003299	0.24224051238840397	0.6329854214480692	0.5472777387491102	0.3333354707842523	0.21621917617285077	0.40830411823110263	0.37678187054551837	0.26564673214049617	0.6440380520699904	0.3434290126924151	0.4229492036061689	0.3699135506563471	0.27428899511880944	0.3891122275600245	0.5400831533111271	0.3582707245387887	0.2843073124386895	0.4613584360595885	0.4709674624118689	0.3258459381809403	0.3844900496168333	0.3641657505310173	0.4216276550899953	0.2390403334675415	0.16547461929147161	0.23060943674078618	0.18970554485419072
4|1	0.3664431696358924	0.43432771858413677	0.2957150179022225	0.5448718758189249	0.6459695851409951	0.39467434658216494	0.6695601246884272	0.5842124131729	0.33341990009554423	0.18753042346744103	0.3711786583521303	0.3513594000381076	0.5167721834736899	0.6413555846550831	0.41617563993034745	0.46902708153462935	0.3525040627481244	0.22410340459257969	0.3212193900336523	0.4945712247214512	0.3469533714951045	0.2842717321387933	0.3763203148454307	0.4309339862790244	0.4244366256072283	0.49338890417897585	0.13950910011813408	0.38600180320930566	0.29913870007657756	0.14910806329638768	0.25653015532440876	0.14701801525352776
7|1	0.4263901319021999	0.32376910010556226	0.46503312844315053	0.6103389036152534	0.7292629456947832	0.5387605069846901	0.7805969704196153	0.7135417323960846	0.37727031639464564	0.27011571887342095	0.36968780224704534	0.3992656682671117	0.5636789303881254	0.6655536856462618	0.47504717943894803	0.4626456841207643	0.40190305164592977	0.34923038656809746	0.34690192383704416	0.5608518047277841	0.3690415986598595	0.38515399950329127	0.3994100141032542	0.48916683828402585	0.39944597591957215	0.45654015781314183	0.29120361137801654	0.35870639155426315	0.2894732390267999	0.20758897018387304	0.27324394435733584	0.25088853303627373
8|1	0.42874627683860844	0.2455957483705089	0.4107347240659564	0.5692989396656822	0.6731348571182478	0.31452074263897134	0.6542599975506491	0.5628697304092837	0.34106983693386955	0.11343866638894089	0.24164272346258278	0.35747805229466284	0.4660641663237084	0.5500462798766765	0.40953805588145914	0.46110678572610136	0.3772901655523482	0.1710936224706805	0.18151298464634222	0.5005072037818304	0.3540156421539979	0.15404755393265196	0.29236132684542737	0.49556266848837605	0.35868813310410635	0.3535973467365599	0.34899425140128526	0.4732920613837557	0.24359946000994728	0.18636236500227765	0.2706049722468399	0.3055087532007396
9|1	0.28398620754474835	0.30185273720703726	0.4157188952613584	0.4952935219335694	0.5659204796323394	0.29313254314653925	0.7326246291665974	0.5446528112134696	0.3500791925565411	0.24751553375396473	0.4200091965334342	0.394475747451263	0.49233051042794923	0.6319914464168225	0.41576570445183386	0.44932801586927446	0.3860456660309733	0.30798093569590923	0.3417587663687649	0.5449289655410328	0.3720754257171609	0.37528095431244457	0.42317289790216456	0.49166681890024705	0.35623887742592025	0.4567715284931786	0.18650848426142547	0.3516983562235127	0.24429813135021206	0.12944611592140287	0.29893432255126035	0.19560599379578703
11|1	0.39743164483223054	0.3159380884943669	0.4127417679261361	0.5731033206298146	0.6180272792431043	0.31510319718536833	0.7130251807408169	0.6596031789434027	0.2563188392786532	0.14999261760088936	0.37116447443568734	0.3815380011297699	0.4658811406000606	0.5672582385250877	0.39478199785965346	0.4548417010830922	0.28333419906352725	0.1809752407753553	0.3319418706719983	0.545981929160125	0.28396301121018747	0.2705893029597668	0.4259625228181562	0.5255953596884896	0.4191649833694577	0.44439276988056203	0.2572984660156374	0.4795963389592449	0.24899936053809543	0.2222401154561604	0.3002798637996176	0.31758659724962035
12|1	0.38530420548463484	0.2963558881755596	0.4533824429821909	0.484837922284277	0.5222945571737212	0.23525508775931256	0.656972266106616	0.5803744829035407	0.28462923420120984	0.19813489466120687	0.35278432167460566	0.37484034002687544	0.4738437480360124	0.621927647674969	0.40607147383515935	0.44345216287911315	0.3235916424880591	0.22576439996413378	0.3090530508370777	0.5097158843894262	0.3206542373248759	0.2761631543457205	0.4211357265115228	0.4731141050093783	0.42112118277916694	0.43997230593298153	0.38208950351104687	0.3890234207590566	0.20037683516356286	0.1640847147544807	0.232016852573608	0.2296281561198361
14|1	0.40950785567373305	0.22384476147536186	0.515636553484303	0.6527306019556731	0.521383300845837	0.25699354206492553	0.640752224819098	0.5972080580543585	0.33533559048150374	0.19571450954357747	0.41895082304181613	0.37034925238596733	0.47629538119866416	0.6012676394993497	0.45371953431527	0.49183778987171434	0.3742941207025771	0.25661629294469007	0.3973373180075197	0.5119746507947137	0.335814973478343	0.2411481797866583	0.47814702342018983	0.4584386885616538	0.32971573544303395	0.3507440616561524	0.37890121744347144	0.43262003452536374	0.25826168991623843	0.12128473399364784	0.23701707593213728	0.26382426627500777
15|1	0.4302162546678175	0.3388143134710264	0.3461507909979389	0.4061043636821517	0.5342877240329885	0.31710932118045826	0.5791871857612629	0.5474660007851437	0.3584340607078812	0.2162132779917847	0.4118724819887275	0.39594549564385606	0.23730328435612746	0.6677291964858515	0.33212805279642926	0.42534864493245145	0.40624394298053584	0.2821272505908541	0.40634723451562677	0.5662287435318083	0.3887871210544862	0.2866130600105633	0.4703215662510402	0.4940669278578866	0.3422257695572147	0.42005605385619543	0.3283779055894767	0.40924030266096373	0.24040451886412628	0.11080474677016132	0.20612468598615344	0.1951554190594317
16|1	0.25567238347146376	0.45490796067323674	0.24867458066323495	0.39416919853099563	0.48469962701024144	0.4370427582584293	0.3646414990835176	0.6649293066966183	0.17745178597765024	0.02929437064382509	0.48972360609548593	0.3791523809844251	0.4341252838189012	0.5385917224848259	0.43005217578557836	0.4378352568876053	0.18025414304901696	0.04223023848773075	0.5002602575882795	0.500680818768276	0.13913353946371432	0.14558745492583627	0.6509669455066452	0.3770994263611752	0.2408039196123767	0.431977020069172	0.38092920308641354	0.3477500171754416	0.30722930291885614	0.2425714609259965	0.2983814543588787	0.1760449302606234
18|1	0.40088933951927463	0.3431758327060229	0.42800831591670974	0.6115867293869084	0.5926053248227282	0.3010196724494287	0.5668887420820837	0.5546342920363289	0.36105867386411467	0.1996211498062655	0.41252672733812534	0.3683701957208564	0.4545547339763956	0.570308687071785	0.3749896638631659	0.425058722283279	0.3889653921935226	0.25554605252569845	0.3953517364072425	0.5138395946338087	0.3861886131779921	0.2652171313132245	0.4806273839355547	0.46395483155912176	0.3493098099005225	0.3831571910205105	0.3635057912947841	0.43880916939565373	0.3273458006093939	0.18667634764919025	0.18404820765005478	0.16684699111142057
19|1	0.34273530569797483	0.39710202061512123	0.38642671114569427	0.6625236635057601	0.5572379634840332	0.29447365618405563	0.6285153084651472	0.6037739553053982	0.33879108192282503	0.1679382832091211	0.4176599940893376	0.3901328694622303	0.3747437535745459	0.66205095727192	0.3582579737325109	0.5004710526087268	0.37131094888438565	0.21193174372167772	0.4158467464868158	0.5381091095783387	0.3534893171124445	0.19870777729862382	0.5052611524651383	0.500855871373101	0.34509575698458617	0.3653665745142372	0.37169123764436784	0.47027641010373994	0.2941555653265427	0.12014458766709712	0.17586108094060893	0.253927452482072
20|1	0.4432689158588622	0.21771759625761047	0.5449740839662751	0.6296653230738259	0.5633009334604928	0.30091647055164467	0.635832514352823	0.5574713489849976	0.35582262033217166	0.13171213076102528	0.37558662070352516	0.36485373087625206	0.4516824734020186	0.5363960339530965	0.41265041508509936	0.46266879247472775	0.3675259432355328	0.1679408390408991	0.3424021381846305	0.4991880399116051	0.4352428375878844	0.2907628901877709	0.49898285724900737	0.5110425239733847	0.5187032974573157	0.4731224073660817	0.368919652829725	0.5073991801589304	0.2871485381728615	0.23334765860523682	0.31346818622344536	0.32499767922207534
23|1	0.32018333399425586	0.364702841500394	0.32929575900476216	0.5393030284803233	0.5137093173198535	0.18982227832090973	0.6885434832261655	0.756455705533811	0.3374315811390829	0.0677814964644159	0.2713483074766255	0.4595194074588205	0.4927841549471357	0.6273025037022224	0.4376608769966739	0.508577411351488	0.3753511336191261	0.07250275319635174	0.23721769067162196	0.6069491347064506	0.36775725170468526	0.16699613978239247	0.2881638487822862	0.5371951652224952	0.4353593883841055	0.43664315689659783	0.257117434683554	0.3804886985595532	0.2083684526554388	0.20773702441552772	0.1919554705598831	0.2395125703278596
24|1	0.3204029065348729	0.08542369681119721	0.5728738467471528	0.7439603056737547	0.5747028701446916	0.2024300983858093	0.7489113475346505	0.6079352274407741	0.3865169863224518	0.1607463900343038	0.4435515689963856	0.46259502184036777	0.4890674723646983	0.5473073449981077	0.4451276358313035	0.5008260606714672	0.4523181781079095	0.2138334992531692	0.4412909773702763	0.6434810529768006	0.38808431127097587	0.10171840899617723	0.4912587401905878	0.6448802389259276	0.42234006808858915	0.167641350663078	0.30843823147515176	0.6682229671764106	0.22837375364138038	0.15795228479066947	0.21888680841990232	0.26014385252705935
25|1	0.43283645857039194	0.25728086840014663	0.606720636345597	0.6328741315649946	0.5059589006682408	0.02882804427534197	0.7711772671927708	0.5766660917533594	0.6940410005835242	0.5690965043137703	0.7538543433118651	0.5002317993638915	0.43095478395929987	0.5002428840676932	0.4531284238661627	0.45238086185064946	0.6714298647234733	0.6152639607044607	0.7238266592062912	0.6522945346356582	0.6957614457914412	0.6543587409551421	0.709613369544297	0.6284259059658112	0.42335088685784716	0.45586208174455445	0.33128733771224245	0.4141224658045143	0.424882173223125	0.3429820777209278	0.39887004990904434	0.3269187031492957
28|1	0.4075090340401283	0.2991296844219111	0.40211140877750245	0.4553986211576908	0.6270629462514186	0.2559482463688484	0.6376742812148275	0.5385910119315546	0.3475145262691193	0.20844710828689533	0.36966381176519053	0.34184501163322784	0.43848688071465486	0.5634565998792008	0.3713891369335675	0.33922220871133213	0.3827243363117985	0.2830149254821357	0.33378132918190506	0.49234846201924143	0.39037590044928383	0.3149161379513802	0.4235954363156715	0.4324814793666008	0.4742520593580964	0.4325499686773879	0.26285951254441564	0.39293631346325614	0.23731615470241346	0.13821124493857723	0.3115873507216387	0.22496881454663603
29|1	0.09442246969781548	0.6034856985548415	0.38991530790389217	0.3879712271252779	0.4990349764073753	0.3235586841805157	0.5509183209060842	0.5607017307695005	0.21688092668990283	0.2845257447296477	0.3282729619639058	0.419114789592509	0.39753860279357167	0.4635804119357366	0.46380704400675915	0.41953949678863195	0.250832079148877	0.36058733322757386	0.27476140202582267	0.5743989821201365	0.27082688561487006	0.45734693079502364	0.3742041158759502	0.5516714516706791	0.4031568017147092	0.45822218928070524	0.30463645151263663	0.40318318180777274	0.2348504584963388	0.2356757817871593	0.25917460909764656	0.2477801759149667
30|1	0.44351583086076773	0.12038374092435772	0.5332017517331101	0.7605229765560371	0.6339140238319114	0.17661002029166095	0.6082739467033462	0.6244446594526734	0.29113577729471407	0.18956723316772925	0.370760881344217	0.34916459835035657	0.4724762623263662	0.5475278079923591	0.4444335157028448	0.5197950736245541	0.32148618665637685	0.25257673888202986	0.33670658651896485	0.4963280430366749	0.30801063129564094	0.19093126841771138	0.42323577498138565	0.4724716741214472	0.26287869969929606	0.19298743128941082	0.3876871368699344	0.4642743185166528	0.18819127016081288	0.2923024358679822	0.2554690050841924	0.21011704456667213
31|1	0.37724463156267585	0.45150256647725806	0.28780680708404216	0.4595024737766686	0.7057442883700229	0.5279436136605651	0.649005364617545	0.6658954414983642	0.3354237603319036	0.15698298267059482	0.40561105692771365	0.4189072336302064	0.398761808530078	0.5338526676905699	0.3591021017940693	0.3313454431679194	0.3666876915428054	0.1810993932621986	0.3750395690777709	0.585392531083283	0.410740763700756	0.29231161982168147	0.5106893626727682	0.5622786916142141	0.40807923016083036	0.44186302387706305	0.3129109496630428	0.39297959557560647	0.2583662932524928	0.2519339029213258	0.09630424304616195	0.15114948130613381
33|1	0.4803762021105906	0.3133598268174843	0.4015720914268317	0.6075350261634143	0.5746190452264914	0.19347255884690237	0.6575535551605802	0.6666583868466782	0.4057119635265378	0.22367869593566775	0.42075098987875453	0.44886542883322933	0.5194115447363175	0.6097724252917336	0.4440123720760615	0.49697505722616125	0.43141635933244776	0.3196782591302309	0.42356467496734523	0.6229412008558864	0.4435097699074755	0.3041934011050738	0.4602880924259713	0.585196577804238	0.47787700736505795	0.3402825417754114	0.22550743889726768	0.537150534292541	0.31858031562576483	0.17829649967269998	0.25646761000555485	0.26066115647679383
38|1	0.29481981401726437	0.5024967990166462	0.3908304602915382	0.6015511209294893	0.6285861427925435	0.42622760778000923	0.7212456870681372	0.6183130298570085	0.26040243925898865	0.22079363935920265	0.3506286738540213	0.3730637923705765	0.4248626116043598	0.5939141886304292	0.38632876126921906	0.4640418616906491	0.2972640452356394	0.2818031539329899	0.3033012160753977	0.5057900597979617	0.2767723744220234	0.3502201178104042	0.37689054866609745	0.49126689529565937	0.38968577407813915	0.5628101190970125	0.28453001875211387	0.5245222046651047	0.22814974460996781	0.28043156601730035	0.27368347404263266	0.3307366406997404
39|1	0.3259407667634334	0.19498652808488098	0.4044313464157986	0.6661206222661408	0.5854964079711247	0.259705775630592	0.6720409837752455	0.6038119983492735	0.36979989020079074	0.18283031899228483	0.3920139529570957	0.42238392628697685	0.4513585370667393	0.5587540507079181	0.4017696911503529	0.4733419941651017	0.4200341002561229	0.21647245998956205	0.31404073433363955	0.556839875113672	0.3777440144445071	0.18422131130782193	0.4005059847237422	0.5242272701150874	0.3855301960773847	0.3403814036899692	0.25000896617446644	0.46305268828017593	0.22237788737090072	0.1679524692890197	0.28334849262247924	0.27334425107991855
41|1	0.2404964325674915	0.4168390326600895	0.41618280154829357	0.4106930633592059	0.5729311327500136	0.3785405816984655	0.6496714839807768	0.40925282654024187	0.3687237831801289	0.19812659031438817	0.3770666572944034	0.3074696068254999	0.4718909710229293	0.5977968656672825	0.41532866408810687	0.44780124821473744	0.4189891734255459	0.26128797731330444	0.32679010507835954	0.45843657224491613	0.4334091718198947	0.30757067743867766	0.41532762601631756	0.4191744838373889	0.2640475188657012	0.5270097167629268	0.18745633699072903	0.42505782398607667	0.28903054832923447	0.22521997874961674	0.23843298222316123	0.256597101348372
42|1	0.21915649242186785	0.4872951994669057	0.27113249430019404	0.6098174054082139	0.4675316285841618	0.30808132121048754	0.4552530753800568	0.6560549589077208	0.38521859419075843	0.24703439439009695	0.29935952946031075	0.4648018103422172	0.42917905339513024	0.33615736478574004	0.3704652249446291	0.420651956276786	0.4650553741269897	0.30151167148332336	0.2348324238862053	0.6261021451371682	0.44568788361585066	0.4162780132101337	0.369824757853755	0.5876579347754183	0.44844532873687065	0.46477683509539136	0.2711968903599109	0.44867749101151916	0.21327238708760635	0.11031530276056276	0.2698405294608476	0.14226426698229244
43|1	0.24966892836855134	0.32316710328266046	0.6655828162919244	0.46657784460349927	0.48814927669304164	0.1758866645240885	0.7715906372731102	0.5820902085052315	0.3197270751788011	0.24258144130102074	0.4641623197913892	0.3606805312086781	0.4560317871345757	0.6220052750706624	0.4567029674938834	0.4604938515625321	0.35646174469223724	0.31625403208192227	0.4433629181702915	0.5164098050658018	0.2723026931316156	0.29828376166062615	0.53944399191539	0.39657482062196975	0.2283822791564955	0.3681556277225428	0.513281893109538	0.32242981787489106	0.3050567644342156	0.18959813061351605	0.32382729293965823	0.24481521634623352
53|1	0.356506408858433	0.3781182160934309	0.41629603163501316	0.49323303560701437	0.5692514171713476	0.22683164518904808	0.700008793609112	0.5784210672073657	0.350251819842587	0.22369447589087146	0.36421321830258335	0.3629366771362913	0.2115065881617133	0.4819643098520358	0.532507822668151	0.3557070118989717	0.3956233628423653	0.292524334270608	0.3150656803913617	0.5064566173352083	0.3777309858816224	0.31375768667953946	0.3691082156112955	0.46259445585439846	0.4105532975033222	0.35991398235820643	0.20315995112756818	0.4309260998007651	0.2456792693430994	0.14003170583648644	0.29856254269980764	0.21052443779154775
55|1	0.3384183022813444	0.2583629124981811	0.733714919973981	0.5378919158212387	0.5015227937127722	0.14793379433322623	0.8972045352795887	0.5366885834837224	0.27616464356937215	0.07315465617515557	0.32948289513120693	0.49050710106356127	0.15944301393141452	0.41108893475444974	1.0	0.18846512660895703	0.2746999502823517	0.035104690434970526	0.2493767335533802	0.6535302127279626	0.28883200790584573	0.11995314531464804	0.42116423305397466	0.6376575603375427	0.20202364375888357	0.24590858299288565	0.45856431906601514	0.42837840932511995	0.4365251166425883	0.36846067122467807	0.45970738684951107	0.39288449488268473
56|1	0.30179093242505434	0.1889129006119747	0.3876890026433046	0.6462586660302909	0.5662292179866703	0.2166747877292473	0.6661280457050165	0.5937452236623101	0.39243253588327964	0.16495577091846636	0.31642372002706254	0.3587385512785835	0.47980339005604455	0.5578771684086874	0.38529131389739474	0.4536253411019253	0.44308276818276	0.19447089198963557	0.22686941434342706	0.4967065452742054	0.42000468560769366	0.1772105464554482	0.31720654246850155	0.4446621791643989	0.42884479273060316	0.31543532080785863	0.2090580991026995	0.4128840702510404	0.2377267949112679	0.17171840041406355	0.2771778845406347	0.2180937937353123
57|1	0.4623919549656704	0.33597043958112205	0.23707714820226644	0.2524150576204336	0.5637187297166767	0.353210929913502	0.7678714030224172	0.3864959875257834	0.24887463209126073	0.22854142773941719	0.20166181944920386	0.4445819271960135	0.5018771988865354	0.5701590337851715	0.3695450327505947	0.4195405303758669	0.22854535065783127	0.3350415795874919	0.17208827198201293	0.6137413781557624	0.2886265817345721	0.3343509964090907	0.2987424012379637	0.6203015847458998	0.4247138695978453	0.3937476284121663	0.3076934900449849	0.4039205807589258	0.2887407337233262	0.17674441755141837	0.24271188021829382	0.36393511104922377
58|1	0.351928463161175	0.4519687267751754	0.24283433296985146	0.47313284792253646	0.5175831646459088	0.34626367765486765	0.5603788661063991	0.571150289349661	0.3802062579066602	0.2819396410846112	0.4302407342447411	0.4187474134363361	0.284474386134418	0.5280286945503163	0.26612768468384274	0.42289406650693023	0.46581397542951697	0.3956587332546353	0.4507885714105202	0.5896470903368378	0.4444989561302029	0.4375370802131823	0.5101791671109293	0.5410679342636866	0.44546939411421943	0.5010044924889313	0.3258761036276945	0.4001275104770193	0.11951678333744986	0.2503479798328088	0.25676786015421216	0.17704564970178008
59|1	0.26885134119687926	0.36028388605607686	0.4026084622009477	0.5318998423761324	0.5555840520401498	0.33313203465447483	0.5908589585525086	0.6284063772800381	0.2757586133928401	0.13551540316950433	0.3549814789558943	0.40289256198347106	0.518573571188689	0.6289105282728253	0.45785378709293834	0.4962854791761817	0.31121081024925606	0.13702363188940928	0.3259228029704315	0.5595396812834701	0.292728064448324	0.25504457536319	0.392640950638401	0.49590285538380935	0.32526036041116335	0.4563575472283341	0.290674465716245	0.37368847288466245	0.23832034673045505	0.17961406389104073	0.28766348203294684	0.23273689340666992
60|1	0.44958918197081016	0.1613259899219402	0.24218654663029077	0.5036963234840475	0.7106238214524114	0.09870374018128955	0.3655908754606447	0.49941737444103707	0.37911111966091504	0.18164873193982603	0.6013712792846623	0.5093385462755167	0.5016462833375129	0.6047200922250872	0.46465531593065196	0.5078137617599189	0.4518317614146526	0.23200881022832567	0.6621733305271369	0.6573807451059175	0.39940275271297115	0.21411364763908744	0.7250666319331714	0.6287632566609376	0.44132447053856355	0.30947015807363026	0.4807150396048734	0.47712918221998313	0.24327972905762266	0.13831759316408193	0.25644852838285365	0.3802733876395367
61|1	0.408137925506715	0.2892863887868341	0.4706189796010156	0.5977228374342862	0.5471069380372358	0.3513038378315135	0.6383002908467551	0.5442536012709792	0.3004725903981431	0.18065016807330156	0.3699180535250864	0.34020251742040114	0.4546966569871445	0.56861126129706	0.4074631247641457	0.45354788462439	0.3374575730367094	0.23269164890596372	0.332784993115474	0.4635334122041414	0.3635672599484505	0.30680051463740876	0.4446232295600382	0.4627874538765343	0.47479647406469205	0.37637353562903264	0.21013757067513164	0.5044602712956393	0.21746283621091198	0.12414662045234853	0.20821507891800348	0.2308632520287467
63|1	0.23705437845006486	0.4745610370496888	0.2295052637945799	0.4160622032252724	0.3913013098952659	0.4723175439142139	0.2550765826903788	0.7592273585818432	0.10377934910955325	0.08269789728474643	0.5634270852553797	0.32407329522322675	0.4569015305890171	0.5308499371804665	0.4139326332112284	0.46497318974335433	0.1307302769877254	0.10392597752839991	0.5597057600599566	0.43882117904417506	0.11996014182739903	0.1790429064147274	0.6519507069497443	0.35858199128558244	0.22330389430869643	0.32522233510062803	0.47403395874535054	0.3540339386722241	0.31630357185149605	0.23153632760215867	0.2766826810952004	0.1607788530715496
64|1	0.3229750692780291	0.35600209921471077	0.43075719905218807	0.5025605093879554	0.6031304237425352	0.2695496685668471	0.686781199108922	0.6068892621766306	0.2906993486798425	0.16910710609038246	0.4055803041885232	0.35376399135040715	0.4611932156357481	0.6034031562518923	0.42772025582730855	0.4475955555069015	0.3272052677770949	0.18540717800631035	0.3708886230987592	0.5180625507383271	0.2886143741123366	0.27176111274054465	0.4821509623964553	0.4294849396816711	0.34347358604677547	0.47289608149526796	0.37331564008238666	0.3698965737103657	0.208931797189382	0.21769550736677318	0.3390036848733617	0.17876170618707182
65|1	0.40206105579148105	0.21018416510203664	0.4202585853092889	0.5921446262698642	0.6278811931746523	0.24479716350290823	0.6670863427034388	0.6317458035046598	0.3108149316621318	0.19724687494734833	0.3147326639400962	0.3524556538470989	0.474085485487956	0.5795322664136304	0.37826874153599555	0.47464920299561264	0.34076896629341324	0.2457262805524326	0.2714327513898371	0.5013572407933888	0.34616072199935694	0.2938580582337885	0.3994436732454846	0.4624595867121149	0.36625157886932264	0.4359987496545843	0.3252438347378836	0.42976632378240026	0.218188086008942	0.19755888651415113	0.23763043162131686	0.24702514949677798
66|1	0.33028628087486606	0.49170575322822885	0.2540488401188055	0.5263239927653804	0.6271349719609491	0.35068381860216546	0.6823647771242799	0.6576984864822923	0.24696535405805756	0.1470988592708714	0.3676528045033727	0.4043806060905139	0.4482180288239254	0.614925138783196	0.39248002402178034	0.45160089545681037	0.2904401124954549	0.1458906676414936	0.3524842536459161	0.5616816843629941	0.2827574118625648	0.21898093324913567	0.4620441180187129	0.5384670083481615	0.37632838296951493	0.4421351610797474	0.29711852770291763	0.43489031890341834	0.23023391674363905	0.20626188742438453	0.30504221278977567	0.30150927924373583
67|1	0.41343636346070445	0.34644597697618296	0.5558663185514746	0.6233555440231338	0.5784305796377737	0.3041327569106786	0.6836485896208551	0.5880980217481183	0.3305018788193577	0.21025960328664275	0.38756861312677543	0.3743593927816142	0.4263237276899054	0.5026306826319584	0.4225813781389421	0.465709891897044	0.36226764419973134	0.2697166794267834	0.3518185398148643	0.5260333764318228	0.4775064587752291	0.4243463593136783	0.5414670995022978	0.5585136467723979	0.5879442738855903	0.5644608650746787	0.5183217370810239	0.5636919976535709	0.42529545508372224	0.3631614194105877	0.4582703084498878	0.42412359392099014
69|1	0.3913832118631031	0.3696190845809536	0.3211662012773241	0.43009798108884484	0.5680379538156258	0.19902650922172582	0.5475366876840737	0.5212082606736755	0.35643527138956366	0.24374019774940847	0.4370378614490931	0.37609331247604316	0.3121539321468674	0.45905604886489393	0.3812466743642314	0.30232128008751524	0.42434885361542996	0.3502410627452874	0.4522019799653559	0.5389071184624656	0.415147732952192	0.3921769561269366	0.5226563117074845	0.49119418127382414	0.46106877959128306	0.5242272551131636	0.35408229449053724	0.3920475063901451	0.2219422818254801	0.21367337304698397	0.28995098928398055	0.2301065594110223
70|1	0.3336906208537115	0.29585887037469905	0.4801219464314328	0.5461414459786563	0.5830146106576076	0.2590782326934187	0.676210024726295	0.5894832308382875	0.31448261931785404	0.17057396584824042	0.31823637433991453	0.35984871850373906	0.39341673046515413	0.5525736417492975	0.38110680793653445	0.46658728495318197	0.3634167155185847	0.20727257678486447	0.2711001144722725	0.5182407345402055	0.36847634718321853	0.28152170582041897	0.3847849795778711	0.47485944364911037	0.42098790267192443	0.4407245675516472	0.38665218416010033	0.41549097589585865	0.2823579565639581	0.21339278220537794	0.29980409534026775	0.261072044682711
71|1	0.5097830940920354	0.5041342528705903	0.5776865195711713	0.5654990686130725	0.5626443864990099	0.2911499895855618	0.6927451653159812	0.5783721353074828	0.5577394960318225	0.39809690585740304	0.511803487067741	0.6133889694532204	0.45303504528013544	0.564918724006921	0.4345954011946893	0.5450597460742654	0.5139662068402578	0.38829609908288104	0.40805515202225784	0.7093164281940816	0.5324797005274128	0.4836955714355109	0.548411000927306	0.6917814630785529	0.3972098234188697	0.4083237615358685	0.29480781645472354	0.4287794240756434	0.4614704465970365	0.41431376666084413	0.4708475208731751	0.42636661586741664
