ID	Pc1.A	Pc1.R	Pc1.N	Pc1.D	Pc1.C	Pc1.Q	Pc1.E	Pc1.G	Pc1.H	Pc1.I	Pc1.L	Pc1.K	Pc1.M	Pc1.F	Pc1.P	Pc1.S	Pc1.T	Pc1.W	Pc1.Y	Pc1.V	Pc2.Hydrophobicity.1	Pc2.Hydrophilicity.1	Pc2.Hydrophobicity.2	Pc2.Hydrophilicity.2	Pc2.Hydrophobicity.3	Pc2.Hydrophilicity.3	Pc2.Hydrophobicity.4	Pc2.Hydrophilicity.4
2|1	0.3734443538075081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44184954113980923	0.4325640812436718	0.0	0.13543025390644114	0.0	0.0	0.0	0.0	0.0	0.0	0.5006645782803659	0.6470207628082348	0.23494841841723518	0.19290190407366503	0.5342225455643377	0.651424370839302	0.5266054126416793	0.5922248940441731
3|1	0.08987418469487715	0.0	0.054661159776675114	0.0	0.710703265688154	0.0	0.08407541753659199	0.1371557970995021	0.0	0.137458597016807	0.2552082538425946	0.2498450571306423	0.0	0.0	0.10743920416173257	0.29107370686544803	0.28406049767595665	0.0	0.3876306852142208	0.41412001011682575	0.5140515301679374	0.6218015226611914	0.44571925119864453	0.38970633804947097	0.48602637482172123	0.5742368998157791	0.488177048942651	0.5285894673535066
4|1	0.3408456255928317	0.17693659559972738	0.05182527458514049	0.0	0.0	0.10785406181170237	0.15942697218632831	0.19505998979897274	0.0	0.2606541670022911	0.16131183318983255	0.39480467003253844	0.0	0.0	0.05093256600884228	0.3679632812877993	0.1346615526545235	0.14289159137996393	0.0	0.0	0.5059555041801148	0.6558562469642545	0.3941860491185534	0.36660774231482285	0.533020259482027	0.6487939502537826	0.5593142004749929	0.5953778629856945
7|1	0.12632008833787356	0.7213151403141626	0.03841371443358304	0.23792594234638428	0.0	0.07994313902052465	0.059084898551915704	0.09638770278963167	0.05270808915744119	0.14490074800327749	0.05978344296789037	0.0	0.1478468745954046	0.0	0.0	0.06818505315496437	0.0	0.0	0.0	0.09700908820116448	0.7427176486757856	0.7467656397981117	0.5054213027680425	0.42591593422072344	0.7843433800309636	0.7749414055364933	0.6964823936378941	0.6565139158944829
8|1	0.16871526441256232	0.0	0.0	0.0	0.0	0.0	0.0	0.0643685298840804	0.0703978228315756	0.0	0.3992389302658857	0.07816978631308567	0.0	0.24473955344965007	0.0	0.09106911991111488	0.0	0.0	0.0	0.0	0.543112587033138	0.6445935079724107	0.39411923454775	0.3157898972081807	0.6001249074101993	0.6557501228861852	0.5815850855883918	0.5729077987799724
9|1	0.36503598774111534	0.2842411054709533	0.055503397660559985	0.11459187069457853	0.0	0.0	0.17074176077040903	0.3481728515717106	0.0	0.41872981857268116	0.08638019669515007	0.5919544292676678	0.21362172324490492	0.1323809451146503	0.054547332121073606	0.09851955676688795	0.0	0.15303283739834495	0.0	0.2803339421095054	0.41535197137103397	0.5621057195394071	0.3220338986116217	0.2874099768667569	0.5951062422977571	0.7103783979469993	0.5218408807009127	0.5686203590915302
11|1	0.2760775626088945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34842422792478905	0.3411020992497373	0.0	0.26698670736018154	0.0	0.0	0.0	0.0	0.0	0.0	0.45146772673829844	0.5983246062400057	0.24473956010761633	0.18335863104027783	0.5202610414035442	0.6138978106428462	0.6351613152623492	0.6506693812583905
12|1	0.2771360698752624	0.3836380972477283	0.056184390978569795	0.11599784404991247	0.12175138103030345	0.7015551573200518	0.43209164879246537	0.14097788924896004	0.2312745798697892	0.14128912722875492	0.699520238181701	0.17120495834388444	0.21624273334956906	0.13400517971748002	0.11043319017949207	0.19945666498753897	0.14598817632299285	0.0	0.0	0.14188673551453798	0.4517261393464428	0.619376994970979	0.37541926968528233	0.30817719270070215	0.5426095480857532	0.6756000424437766	0.45871614737398003	0.5139904394565927
14|1	0.0867608653105545	0.0	0.0	0.0	0.0	0.0	0.08116297245516682	0.13240460182321892	0.21721008040782222	0.1326969124898528	0.3284901593333176	0.08039673618481989	0.0	0.0	0.10371741733174884	0.18732710816818446	0.0	0.0	0.0	0.9328072489889507	0.5413677555649173	0.6185309932411301	0.3883699884557239	0.3188884893466662	0.562127436367237	0.6300564611642159	0.5659859143159629	0.5653383488760961
15|1	0.0	0.09325381748704754	0.054628661538306	0.11278589749585247	0.7102807242669253	0.0	0.08402543134948491	0.20561137876631314	0.0	0.20606530860233907	0.08501884078755768	0.16646434285663442	0.0	0.13029461527772587	0.10737532727215866	0.3878675359253995	0.0	0.0	0.19370011166013867	0.551831732351094	0.5530202073752283	0.6388417788472189	0.4382711753351095	0.3696169340995078	0.4810527776841649	0.5630243094628898	0.49408730370756504	0.5165614018273837
