ID	Pc1.A	Pc1.R	Pc1.N	Pc1.D	Pc1.C	Pc1.Q	Pc1.E	Pc1.G	Pc1.H	Pc1.I	Pc1.L	Pc1.K	Pc1.M	Pc1.F	Pc1.P	Pc1.S	Pc1.T	Pc1.W	Pc1.Y	Pc1.V	Pc2.Hydrophobicity.1	Pc2.Hydrophilicity.1	Pc2.Hydrophobicity.2	Pc2.Hydrophilicity.2	Pc2.Hydrophobicity.3	Pc2.Hydrophilicity.3	Pc2.Hydrophobicity.4	Pc2.Hydrophilicity.4	Pc2.Hydrophobicity.5	Pc2.Hydrophilicity.5	Pc2.Hydrophobicity.6	Pc2.Hydrophilicity.6	Pc2.Hydrophobicity.7	Pc2.Hydrophilicity.7	Pc2.Hydrophobicity.8	Pc2.Hydrophilicity.8	Pc2.Hydrophobicity.9	Pc2.Hydrophilicity.9	Pc2.Hydrophobicity.10	Pc2.Hydrophilicity.10
1775|0	0.14836910188397004	0.39763996618817554	0.2207701112836713	0.35875143083596583	0.6651604735680536	0.14078256592719413	0.21654628590431801	0.3362751356918347	0.07657969577319453	0.08585899375442195	0.08125593836121976	0.12924070266407717	0.0	0.2381837108946032	0.0	0.19271806828549326	0.31889016074308074	0.12924070266407717	0.15991644466245578	0.13678626102089878	0.4557001808388907	0.37388194018445553	0.6607821017353033	0.46428847385983996	0.3965711747353877	0.46964364973559003	0.34274923087845227	0.47981291562823936	0.3643255870211443	0.511736685654362	0.698340348427888	0.6365837095197411	0.3859036075577412	0.46267339234226673	0.42836694343304843	0.6319511512746435	0.4762203087167666	0.46361180879935787	0.4208789959891137	0.49958973496351733
1030|0	0.30926379959888983	0.24865483160752822	0.38348170534664494	0.37389466271297883	0.7798922059407848	0.0	0.11284345311358998	0.23364641481759685	0.15962439204805862	0.0	0.5928007901554644	0.26939214608160417	0.0	0.24823766706977338	0.23406845737741452	0.4017057547193341	0.11078360376680853	0.13469607304080208	1.0	0.2851202728808804	0.34893066390814137	0.31223237552710975	0.5530279508595691	0.4455311869988345	0.45178216455184567	0.5087677715112333	0.316703556269168	0.42394230734151606	0.39296257360955644	0.5176000158944178	0.7292248799631632	0.7376840254388705	0.439555601224483	0.42074102269888236	0.40420416201164444	0.5189151817246537	0.4506212151161283	0.4711554491345713	0.4354189152647672	0.5121407015279655
5115|0	0.2351418545302256	0.0	0.23325743133357613	0.2526955506113741	0.0	0.8924735195480955	0.3431920434417292	0.05921595237442863	0.0	0.18143079444579946	0.34340792514950125	0.0	0.5172472453131562	0.2516559885109931	0.0	0.1018093466512822	0.11230913360505515	0.0	0.16896172626389996	0.0	0.4296265187550562	0.4188114337558291	0.5491099084044103	0.38384222122230827	0.3965354122475023	0.3332528127397866	0.27821293670785774	0.4131101109587512	0.45052796472134005	0.5327940723304038	0.7385494361648446	0.7141061446546672	0.452574426942367	0.45636968625052043	0.42477247515367395	0.5580274881828794	0.36231414964388775	0.4123577979047529	0.433944040020784	0.5380336226235676
2194|0	0.0	0.0	0.0	0.0	0.1689640650254774	0.1430463508823771	0.0	0.17084122148359498	0.0	0.17447921432763805	0.24768760379265045	0.3282972358795361	0.0	0.0	0.0	0.09790848829817893	0.21601194497422252	0.0	0.0	0.6949289267821306	0.5240995762468074	0.4067443690878664	0.46239329423265024	0.3414027773183672	0.39742230116507365	0.37507055574222986	0.42932065170945477	0.5615306831389425	0.4508370162580412	0.5661395053374909	0.49408783725615524	0.5240629313703958	0.4339718449670832	0.42462351249021046	0.5528471749361862	0.6516655695320798	0.4493359603581054	0.4215209436236148	0.41811224068276154	0.5017817497334724
2160|0	0.10844737759965513	0.0	0.26894570496919273	0.08740735411498764	0.0	0.0	0.31656020744310615	0.08193115717194512	0.05597437120349387	0.0	0.05939237562120445	0.23616465802321837	0.0	0.0	0.0	0.1408633526539601	0.23308627763996703	0.0	0.0	0.0	0.49087574609446016	0.4662709278509693	0.6428848694601922	0.6288625447419496	0.45113840978010994	0.5908467009681376	0.3738637657538357	0.5696332280044905	0.5416950229230004	0.7211674018443641	0.7212837707763617	0.7716802358031923	0.47815688926453187	0.5256095495517026	0.49903466701445054	0.6981984200549771	0.42784306268184474	0.4943195014380823	0.4523974104304608	0.5994970205714293
4034|0	0.16704148995519724	0.2686099932171258	0.24855423304536065	0.13463354289957036	0.18721788289013808	0.1585001814635574	0.12189941767663114	0.18929783555870894	0.0	0.289993281498905	0.27444621904189614	0.21825864612377754	0.0	0.2681593501995245	0.0	0.10848590730457972	0.11967426035517365	0.1455057640825184	0.0	0.15400093790552274	0.34385339538396864	0.28704185923788433	0.5701326588383696	0.4267133900387661	0.34195694266493093	0.5193527745089146	0.4029565174751701	0.4918341837140716	0.2919821766705909	0.4748621580319919	0.625671467671489	0.5788791549066976	0.3580921032418073	0.37551323590472396	0.5811239700803272	0.6481229876104648	0.2875657038059607	0.3933300034271272	0.4004356327999426	0.5170425477797741
1077|0	0.3153339788952038	0.0845117959964	0.0	0.25415560401590354	0.1767110672561584	0.14960502594271882	0.0	0.2977904855603434	0.0	0.18247908614890293	0.5180881604111501	0.4120195966220766	0.0	0.2531100354141013	0.0	0.30719277719791144	0.11295804622929043	0.0	0.0	0.29071656698205106	0.3980437009005974	0.3076986803371421	0.4759948549775288	0.3837004703767969	0.4109580354331455	0.45178308658094624	0.4596203437293821	0.5842565236761647	0.4109476525193249	0.5698514688684454	0.4822326173489167	0.49348595742715085	0.4285825101727295	0.45453369455127407	0.5428062434262373	0.6531285886955867	0.41878694621864887	0.4568481286521252	0.3644960584052569	0.4584474529055369
4100|0	0.3867552831946624	0.0	0.15346233292734454	0.12468814550346745	0.17338807343181903	0.0	0.0	0.2337525063001822	0.0	0.0	0.5083456820013854	0.3368930857195052	0.25522649539667663	0.3725255759710862	0.0	0.10047203916456011	0.22166781422838655	0.0	0.0	0.14262486851109638	0.4114417299001967	0.3082452015993432	0.4813554610445968	0.323180448607757	0.47936486454510907	0.5423905656818783	0.3445056598592546	0.45478825458632893	0.484949793780035	0.5709165655808354	0.5581886071113278	0.5584198018029976	0.41130861988569223	0.379355218847963	0.6121345063681469	0.7241935208841748	0.37727038431891785	0.4221709619660399	0.40448591795181277	0.4851056540263752
2006|0	0.1481026420858684	0.0	0.0	0.0	0.0	0.0	0.10807869249418277	0.2237808071507707	0.0	0.0	0.4055500438991099	0.25801719207753676	0.0	0.11887797539171661	0.05604625729154206	0.09618598053214364	0.0	0.0	0.15962924670131146	0.13654060313774188	0.44796305586913404	0.38674654433017464	0.6362249679389127	0.45204385924887464	0.4468902528444948	0.45015212007083305	0.3891051990139507	0.5553473918064741	0.4629947943049665	0.5614624300639277	0.6366156336734964	0.49146728412519813	0.3823362260633303	0.3799405861660926	0.5163327849395155	0.6340348056052026	0.4723934379798804	0.4616410543404568	0.3879871216351279	0.4747384815255896
1401|0	0.21979089810332775	0.31416296854448506	0.0	0.23619862200435943	0.16422581253102145	0.13903490780547767	0.0	0.22140043728789358	0.0	0.0	0.08024723675332239	0.0	0.2417396869136231	0.11761346323991424	0.16635026967710806	0.570977066941232	0.10497716533527085	0.0	0.15793126083326703	0.1350882125556078	0.40174020884466577	0.3635448910291814	0.7900303874339779	0.6076062382329256	0.34949340227149844	0.41865774713516224	0.3895502859463874	0.5364658165736184	0.40735660737209833	0.5583122539627328	0.6896828810522404	0.6866167325170406	0.3899956745069808	0.4195096378572698	0.41477575952786905	0.5839875664149006	0.3788451261757905	0.42520451277472116	0.4089730292765951	0.5370707768988248
