ID	Schneider.Xr.A	Schneider.Xr.R	Schneider.Xr.N	Schneider.Xr.D	Schneider.Xr.C	Schneider.Xr.Q	Schneider.Xr.E	Schneider.Xr.G	Schneider.Xr.H	Schneider.Xr.I	Schneider.Xr.L	Schneider.Xr.K	Schneider.Xr.M	Schneider.Xr.F	Schneider.Xr.P	Schneider.Xr.S	Schneider.Xr.T	Schneider.Xr.W	Schneider.Xr.Y	Schneider.Xr.V	Grantham.Xr.A	Grantham.Xr.R	Grantham.Xr.N	Grantham.Xr.D	Grantham.Xr.C	Grantham.Xr.Q	Grantham.Xr.E	Grantham.Xr.G	Grantham.Xr.H	Grantham.Xr.I	Grantham.Xr.L	Grantham.Xr.K	Grantham.Xr.M	Grantham.Xr.F	Grantham.Xr.P	Grantham.Xr.S	Grantham.Xr.T	Grantham.Xr.W	Grantham.Xr.Y	Grantham.Xr.V	Schneider.Xd.1	Schneider.Xd.2	Schneider.Xd.3	Schneider.Xd.4	Schneider.Xd.5	Schneider.Xd.6	Schneider.Xd.7	Schneider.Xd.8	Schneider.Xd.9	Schneider.Xd.10	Grantham.Xd.1	Grantham.Xd.2	Grantham.Xd.3	Grantham.Xd.4	Grantham.Xd.5	Grantham.Xd.6	Grantham.Xd.7	Grantham.Xd.8	Grantham.Xd.9	Grantham.Xd.10
3920|0	0.04824992843636821	0.17465638014954973	0.0	0.24571888119886728	0.0	0.0	0.05968012970917016	0.11258316635152582	0.0	0.3816251744263341	0.07446747802995952	0.07125968581632883	0.14752228138217904	0.23452881834896167	0.08894197198953646	0.06714229332923922	0.026838507358618154	0.0	0.0	0.0	0.06351956764651373	0.049605423391185316	0.0	0.20660884451665784	0.0	0.0	0.03243230274894398	0.21743202146994572	0.0	0.1752087256073188	0.043603217832439846	0.028415665368386526	0.11418040797597107	0.141279645985486	0.05324455394105053	0.03248804150355608	0.042608262103548206	0.0	0.0	0.0	0.5803484484083126	0.3495041764506412	0.5632869802163318	0.6517093841399676	0.5966126740881074	0.5136321986019007	0.6951469977804028	0.6158734972288366	0.7182326042801365	0.7026413092073548	0.39507838345870727	0.25264573956759717	0.40561707241479483	0.5415272114846863	0.6035904037315111	0.47567283486369566	0.7166794350520703	0.5468140071846728	0.595238615582193	0.7858282875705834
2009|0	0.06091939959457506	0.14701178024342376	0.0	0.0	0.0	0.0	0.30140377716031014	0.0	0.0	0.16061078395786024	0.0	0.3598842457106505	0.3725173943201297	0.5922228390570986	0.0	0.0	0.0	0.0	0.0	0.19292004159043352	0.169727937773935	0.0883656960790717	0.0	0.0	0.0	0.0	0.34664391253238064	0.0	0.0	0.15605593036999424	0.0	0.3037131682186552	0.6101932332976696	0.7550146781852104	0.0	0.0	0.0	0.0	0.0	0.23159605684828288	0.7907769045824673	0.7252833299806539	0.22414417439109013	0.4477607079494681	0.9574283346376375	0.3559860909411499	0.2117602294795693	0.3844094554867656	0.23056229765049788	0.008275266172629824	0.6522874902468031	0.7189027380929426	0.30451570703379816	0.5618304671521214	0.9516820300647415	0.5662884435116254	0.2933095012045209	0.36320246687111063	0.2239858004849662	0.01483153518607374
5129|0	0.6136410240524184	0.0	0.23676874224367717	0.2604203964204487	0.0	0.20335951046763956	0.1265016588180488	0.039773029336730825	0.0	0.0	0.07892291408122572	0.0	0.0	0.0	0.9426342611899498	0.42695675383351356	0.2275541770844328	0.0	0.0	0.16194027500495775	0.730867868013214	0.0	0.1871915425036417	0.19810662459283282	0.0	0.12256463180239258	0.06219534348006216	0.0694948046271956	0.0	0.0	0.041808889287284254	0.0	0.0	0.0	0.5105347200352837	0.18690670063882323	0.32683901813971356	0.0	0.0	0.08310658738575964	0.3841480376143808	0.3399966721951128	0.3844935158784087	0.5352679649134046	0.5981200299303745	0.5233636585994682	0.5071400479985021	0.6369265206166213	0.5336120016687376	0.6077229833362838	0.23231995438780106	0.2896395176315498	0.3733037469259587	0.592504606809913	0.6275061905935445	0.6618184436320323	0.5567222360255095	0.6696170701628249	0.5756619477969105	0.7180612188378513
4428|0	0.0	0.2491406462011304	0.0	0.0	0.0	0.0	0.0	0.08029779041616308	0.0	0.09072895255032104	0.0	0.30494764904382093	0.21043489210729435	0.5018195840273614	0.12687232127965914	0.0	0.0	0.0	0.16566158450993465	0.0	0.0	0.11810126046245398	0.0	0.0	0.0	0.0	0.0	0.2588325433491109	0.0	0.06952321582214178	0.0	0.20295719706418738	0.27184225393539563	0.5045407274421152	0.126765351514298	0.0	0.0	0.0	0.09745514422097382	0.0	0.6815273115103477	0.4405949829424841	0.6823841369698154	0.5929368058323071	0.5142356810161093	0.41582343578596476	0.7639395192720702	0.7140398266148782	0.3074600141950988	0.4330157383986698	0.5398436609850633	0.28135439727077316	0.4302510460625053	0.6100082037542085	0.5069211981621922	0.6547602035305152	0.7051679648556933	0.6133683849962513	0.36753646309355714	0.43630420122262487
1764|0	0.0841907266330012	0.06772352039293089	0.0	0.0	0.0	0.11160260988378426	0.06942343265017277	0.1091361271168534	0.12722254552126294	0.14797627352970352	0.2598748345974231	0.0	0.3432131671242627	0.0	0.31038757953170326	0.3124154388829595	0.03122012832616046	0.0	0.2701892092186337	0.17774391071547135	0.0947412041492936	0.016441748997096908	0.0	0.0	0.0	0.06355140955718433	0.03224912185453182	0.18016995302853767	0.0353647445723239	0.0580730430586075	0.13007082747220286	0.0	0.22707101119035675	0.0	0.15883147010192247	0.12921818316429984	0.04236760637145623	0.0	0.08140470373387088	0.0861837659720239	0.5225078297319288	0.320006399496702	0.45895322774707964	0.7095377456905827	0.7187137880709631	0.6942858096641285	0.6558321912236439	0.6816142955915124	0.5493171703543365	0.5079376486293049	0.20008611510532548	0.2009227690708316	0.28834228405248274	0.7177244740292885	0.720061956906791	0.6732634678758551	0.7265983178952083	0.6458404635185974	0.5592054969968011	0.5574939741985371
4231|0	0.013600100490034742	0.0	0.31484974711906594	0.06926023695580516	0.03530291632698535	0.0	0.06728762405303296	0.1057785593669369	0.0	0.25099163342103475	0.04197996628254212	0.2812013379410211	0.08316355759833881	0.13221223743622473	0.05013975340646535	0.037850499099217956	0.030259642565987437	0.0	0.0	0.1722756277726167	0.017263237874596164	0.0	0.26528998751614447	0.05615179325110343	0.13927926700424112	0.0	0.0352575798558143	0.1969776583429452	0.0	0.11110848798002909	0.023700813762719496	0.10811864316976756	0.06206350630334653	0.07679347406956229	0.028941424958252866	0.017659087091926186	0.04631999815931145	0.0	0.0	0.09422368226769061	0.5368658507998005	0.48015476651369826	0.5406910427964644	0.5472379716560469	0.6691042026693877	0.761383271220426	0.6775887667320286	0.6220470437218043	0.6195673222947699	0.8785017393875686	0.2852836467957264	0.35179815270771386	0.27054186392949675	0.446858790423724	0.5862525301742357	0.6480546095897145	0.6039076289050035	0.645979145545924	0.5959814318265455	0.9207154783566202
4581|0	0.10613461214575125	0.0	0.5733173092705874	0.09008399597014577	0.04591707900398666	0.0	0.0	0.12382371417004313	0.08019122809068145	0.0932727690206943	0.0	0.15674881519707037	0.0	0.0	0.0	0.04923061713602995	0.05903624443369715	0.24400767022879616	0.17030632750915284	0.11203597937389069	0.10285831536718452	0.0	0.36882028308823755	0.05576086885332773	0.13830961562849983	0.0	0.0	0.17604568374693277	0.019197339123787894	0.03152427410486357	0.0	0.04601396983832118	0.0	0.0	0.0	0.017536145907201973	0.06899628292628905	0.060376547962073625	0.04418959397980771	0.046783852176466974	0.5334508390753456	0.43699368820306683	0.5830871625796874	0.574402132539498	0.7013540426633517	0.5942472153522435	0.71178791459088	0.738409692270764	0.6499852402890035	0.6648446508452602	0.27934310906342974	0.32915697731051274	0.39332619313419104	0.46941877625015155	0.5356904876036225	0.5866039284721559	0.7638235873035087	0.6806132244748893	0.608910596577997	0.6773738955886518
3543|0	0.07455169384207337	0.17990947555008235	0.17259123909175514	0.0	0.04838001402398134	0.4447133041309208	0.0	0.0	0.0	0.19655160873299324	0.23012165212234023	0.0	0.0	0.18118701135229182	0.1374255854952992	0.4149702897684049	0.04146858344912685	0.0	0.17944134714122825	0.3541363499730923	0.07154927101223689	0.03725079807054253	0.10995217323372247	0.0	0.14431432408077835	0.21597526439532236	0.0	0.0	0.0	0.06578579933011003	0.09823046866629824	0.0	0.0	0.07956961967516812	0.05997536130998808	0.14637981789363227	0.04799450319896053	0.0	0.04610808408093002	0.14644491579406857	0.4536546090502945	0.47655965441878256	0.5308830703973917	0.5171948866288382	0.6578916289933779	0.6273470564782738	0.5972440383503012	0.6121879083759628	0.4688488781938695	0.5168472149261425	0.2314867793261386	0.3648123829165587	0.3910925402912039	0.45770676018285084	0.6064397968888704	0.7607939924666354	0.677485082269084	0.6299032898855645	0.5172048260229409	0.6171129766829003
2318|0	0.06062335721659621	0.14629736550355749	0.28069275963276885	0.0	0.05245503660914423	0.08036187779661046	0.09997969432191613	0.0	0.0	0.0532767612808295	0.03118808440364095	0.29844613442158885	0.0	0.0	0.22350130307782973	0.05624037678740414	0.08992291990139012	0.0	0.0	0.12798835481430598	0.09117358924475846	0.04746783460228725	0.28021904729862124	0.0	0.24519522877459776	0.061158290766091604	0.062069470530181574	0.0	0.0	0.027943109978184343	0.020862137551733325	0.1359559108268991	0.0	0.0	0.15285044500167236	0.031088072134408482	0.1630887753762443	0.0	0.0	0.08293839358340356	0.4232620846157071	0.4193895156410917	0.7172355159613741	0.8007698533490882	0.6212460944556567	0.6951296394865246	0.4671512223524498	0.5470207544283109	0.6995713266123792	0.6971825168022062	0.2968381997161008	0.28762708561946826	0.388670906897823	0.6481192390193427	0.612018882262254	0.5657493393442419	0.5547398894332219	0.6778944172076802	0.575449547423874	0.6568409697122435
5100|0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7030000861507437	0.6727173605610732	0.0	0.0	0.0	0.0	0.0	0.26180133429812424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6516873474244368	0.0	0.0	0.0	0.0	0.0	0.21377547148344248	0.0	0.0	0.8311672258646243	0.6686599788593305	0.1385045791247826	0.4738668392421789	0.7961885186722618	0.59612579921582	0.0	0.522443340021531	0.4828208149103665	0.0	0.7099748095338104	0.7007326938765706	0.10157616795477187	0.49528066621327804	0.8583246206134403	0.7030447192801467	0.0	0.6080835129007767	0.5817295166370636	0.0
