ID	Xc1.A	Xc1.R	Xc1.N	Xc1.D	Xc1.C	Xc1.Q	Xc1.E	Xc1.G	Xc1.H	Xc1.I	Xc1.L	Xc1.K	Xc1.M	Xc1.F	Xc1.P	Xc1.S	Xc1.T	Xc1.W	Xc1.Y	Xc1.V	Xc2.lambda1	Xc2.lambda2	Xc2.lambda3	Xc2.lambda4	Xc2.lambda5	Xc2.lambda6	Xc2.lambda7	Xc2.lambda8	Xc2.lambda9	Xc2.lambda10
12|1	0.17141779502126211	0.3302554972659315	0.07596221202699376	0.09197787662813735	0.08064341990881937	0.47891640751247394	0.2926711379242896	0.08164483418353768	0.164809778889192	0.1864907186488226	0.6617415441162435	0.17081028383885805	0.2850089316145014	0.1410726794787027	0.11523328797997308	0.15376691117902466	0.0834277888469745	0.0	0.0	0.11302590407640237	0.5470480356749957	0.45855343136951787	0.4400531602361458	0.500396077562221	0.6526668603973345	0.3990747384030742	0.3715716854697579	0.5390890659534722	0.35964886608994506	0.28657024684847804
24|1	0.07091034882761628	0.0	0.0	0.0	0.0	0.0	0.0	0.10132198359935918	0.0	0.23143668212849033	0.41061364476063794	0.10598855978332246	0.0	0.35014496286014557	0.07150278049778483	0.28623920806027003	0.0	0.0	0.0	0.14026617744593442	0.3149692880627299	0.3313513191151817	0.13005157479664614	0.206902116584199	0.451864886393805	0.40878040926449644	0.18624455692629105	0.3533233716105866	0.4776780862233611	0.3186208462617709
294|1	0.08636249088673116	0.7487413612001519	0.057406109818733855	0.1390189133705713	0.0	0.06032106216593767	0.08847089117670859	0.061700577065962076	0.0	0.0	0.12502271438480575	0.1290846284036345	0.2153867507408549	0.21322269361244006	0.0	0.11620462272075205	0.0	0.16584171402248085	0.11990095282473835	0.08541585728790964	0.46698978847973466	0.4947894633327551	0.4107792171097532	0.41285144672537816	0.7160651222425262	0.6336513365880503	0.5533143242190297	0.6951231630754907	0.6146911739551217	0.5680814037428688
80|1	0.48263067046723146	0.0	0.0	0.0	0.4086960637089366	0.0	0.0	0.34480930982660646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5637427735455764	0.0	0.0	0.0	0.12307627863478147	0.040518389443507746	0.0966029219645827	0.14610443070336568	0.13977721033583868	0.10853757390505032	0.0	0.2013143750357027	0.08677837330287813	0.1555519258787611
388|1	0.16833286444049067	0.0	0.0	0.18064518256168174	0.15838423157694995	0.0	0.0	0.12026326207712931	0.0	0.18313452729821955	0.24368717734325027	0.4193407159233642	0.27987975136328236	0.0	0.0	0.0754998178914889	0.24577912699447063	0.21549950276244317	0.0	0.22198365329337036	0.5702691057316543	0.40923329671769704	0.5071211154787372	0.3691095462978387	0.5692456114340674	0.5015123246359204	0.4280085820049322	0.4090423735871752	0.390832819554899	0.44155011963308116
135|1	0.14778483086814817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21394080358645676	0.2945221516183303	0.0	0.36486997293875917	0.0	0.0	0.0	0.0	0.0	0.0	0.6348194551361314	0.7406533853513754	0.48423310424033206	0.16535740664488	0.7101179695783566	0.7246505860987527	0.2164975250812633	0.2976370538740267	0.5652116858372453	0.5175756809896896
91|1	0.068441878023705	0.0	0.0	0.0	0.0	0.0	0.0	0.24448712202380435	0.06580349947010312	0.22338010502467306	0.39631971149790257	0.10229897610901617	0.0	0.0	0.0	0.0	0.09993048645872152	0.0	0.0	0.13538335047460973	0.46115934813731246	0.4242594613097567	0.2500181281579996	0.3639349238661008	0.3815503329903196	0.42672586941201235	0.20766868078933876	0.3068228456290205	0.332955069813571	0.32003853911140256
420|1	0.4304582672974068	0.0	0.16350308903874544	0.09898781611691992	0.0	0.1718054058944511	0.06299531549463207	0.17573451637138776	0.0	0.10035189787950935	0.2670656494553169	0.3676566058570509	0.0	0.0	0.06200779980617742	0.16548599822753152	0.0897860977462399	0.23617375066675356	0.0	0.24327996729902593	0.5142312279204451	0.43412754985900504	0.2965645935969848	0.33798238144664505	0.5770017690285872	0.4141886093356156	0.3692409897138843	0.3639595060088484	0.43024285998010176	0.35417142623291153
430|1	0.40272541047111576	0.0	0.17846404461724916	0.0	0.0	0.09376302247037713	0.06875954981160988	0.09590733959485655	0.12906689149857703	0.10953435611452227	0.19433523146397103	0.10032453407646423	0.0	0.3314332257177484	0.06768167388326678	0.0	0.0	0.0	0.0	0.26554071359622927	0.41117444950128873	0.3913354755784374	0.42833107516706326	0.4303891658728517	0.37809938590537223	0.26131799093192865	0.3259641680140316	0.37574372655924937	0.3052457507884023	0.343689655462377
632|1	0.1372972444469936	0.0	0.09126300795180767	0.0	0.19377426949558024	0.0	0.07032456711017687	0.049045130154111306	0.0	0.11202743762212806	0.09937922124565905	0.10260799334474799	0.34241725850515414	0.0	0.1384443158855365	0.0	0.20046469826964797	0.0	0.5718479258893681	0.2715846131184125	0.37775152128951844	0.36186992670178203	0.3765840693948367	0.464919093424325	0.39570793350626615	0.34229117329288455	0.2939262566729356	0.33403546621341035	0.31598993902728445	0.2593398708476789
43|1	0.23138281508611724	0.0	0.0	0.0	0.0	0.0	0.0	0.05510283097587095	0.0	0.37759277672757385	0.5582691302486218	0.11528139279644634	0.3847101691715861	0.0	0.0777719797443673	0.3113360031082529	0.0	0.0	0.0	0.0	0.42539837774134687	0.23818259529194713	0.09260054848376381	0.3012637217558358	0.318816329993143	0.23950423714131486	0.1965675213487732	0.34133006192737836	0.33046642314686564	0.24986680543766016
581|1	0.11496410789880153	0.0	0.07641792328462527	0.0	0.0	0.0	0.0	0.04106731826744598	0.0	0.0	0.4160696582150156	0.17183500609466776	0.0	0.28383800077146526	0.0	0.0	0.0	0.0	0.0	0.0	0.4992613926929243	0.5095250358187753	0.40622958470309933	0.3432089361328732	0.6245024380763726	0.5191286999043928	0.004775185950294747	0.3643806962917496	0.6398904148791879	0.41216714499345203
343|1	0.19018575048536102	0.2748105422411652	0.2528371742459406	0.10204822371214427	0.5368367736323713	0.0	0.0	0.18116770269414514	0.060951414994535255	0.3103634364248587	0.18354834773641626	0.18951172495528437	0.0	0.0	0.0639248957573178	0.7677104894183873	0.46281007847604183	0.24347553758040189	0.17602898714281434	0.12540072860224763	0.4722817903410678	0.402605699892853	0.42628295726980214	0.4456151035100005	0.44779243339748415	0.3015839016629568	0.3943421843762559	0.5375647979675093	0.2905493926535223	0.29540870451481105
623|1	0.0	0.1929308343812027	0.05916814130932791	0.0	0.0	0.12434513125633263	0.0	0.0	0.0	0.14526050386698217	0.0	0.2660935415538591	0.22199786301898156	0.10988369100303755	0.0	0.0	0.0	0.3418641674639684	0.0	0.0	0.6314279177348445	0.45266803605590666	0.6239878854509188	0.7146981643432175	0.6645104101203185	0.5041449024512066	0.39683496597813406	0.6602877854843582	0.3533626164585122	0.5852211493962858
